"","X","Y","FID","ID","NAME","ADDRESS","CITY","STATE","ZIP","ZIP4","TELEPHONE","TYPE","STATUS","POPULATION","COUNTY","COUNTYFIPS","COUNTRY","LATITUDE","LONGITUDE","NAICS_CODE","NAICS_DESC","SOURCE","SOURCEDATE","VAL_METHOD","VAL_DATE","WEBSITE","STATE_ID","ALT_NAME","ST_FIPS","OWNER","TTL_STAFF","BEDS","TRAUMA","HELIPAD"
"1",-9039357.6755,4549457.6919,421,4125801,"RALEIGH GENERAL HOSPITAL","1710 HARPER ROAD","BECKLEY","WV",25801,"NOT AVAILABLE","(304) 256-4100","GENERAL ACUTE CARE","OPEN",300,"RALEIGH","54081","USA",37.787554395,-81.201931585,622110,"GENERAL MEDICAL AND SURGICAL HOSPITALS","https://ohflac.wvdhhr.org/apps/lookup/facilitysearch","2019/08/10 00:00:00","IMAGERY","2014/02/10 00:00:00","http://www.raleighgeneral.com","201035","RALEIGH GENERAL HOSPITAL, LLC",54,"PROPRIETARY",-999,300,"LEVEL III","Y"
"2",-8667197.4118,4764158.5966,430,825438,"JEFFERSON MEDICAL CENTER","300 SOUTH PRESTON STREET","RANSON","WV",25438,"NOT AVAILABLE","(304) 728-1600","CRITICAL ACCESS","OPEN",25,"JEFFERSON","54037","USA",39.2959891360001,-77.858759055,622110,"GENERAL MEDICAL AND SURGICAL HOSPITALS","https://ohflac.wvdhhr.org/apps/lookup/facilitysearch","2019/08/10 00:00:00","IMAGERY","2014/02/10 00:00:00","http://www.wvuniversityhealthcare.com/default.aspx","205020","JEFFERSON MEMORIAL HOSPITAL",54,"NON-PROFIT",-999,25,"LEVEL IV","Y"
"3",-9033552.2529,4575368.9508,431,3625901,"PLATEAU MEDICAL CENTER","430 MAIN STREET","OAK HILL","WV",25901,"NOT AVAILABLE","(304) 469-8600","CRITICAL ACCESS","OPEN",25,"FAYETTE","54019","USA",37.971276577,-81.149780587,622110,"GENERAL MEDICAL AND SURGICAL HOSPITALS","https://ohflac.wvdhhr.org/apps/lookup/facilitysearch","2019/08/10 00:00:00","IMAGERY/OTHER","2013/11/15 00:00:00","http://www.plateaumedicalcenter.com","205018","PLATEAU MEDICAL CENTER",54,"PROPRIETARY",-999,25,"NOT AVAILABLE","N"
"4",-9027175.023,4710613.6464,432,3226147,"MINNIE HAMILTON HEALTH CARE CENTER","186 HOSPITAL DRIVE","GRANTSVILLE","WV",26147,"NOT AVAILABLE","(304) 354-9244","CRITICAL ACCESS","OPEN",42,"CALHOUN","54013","USA",38.9227600680001,-81.0924929559999,622110,"GENERAL MEDICAL AND SURGICAL HOSPITALS","https://ohflac.wvdhhr.org/apps/lookup/facilitysearch","2019/08/10 00:00:00","IMAGERY","2014/02/10 00:00:00","http://www.mhhcc.com","205004","MINNIE HAMILTON HEALTH CARE CENTER",54,"NON-PROFIT",-999,42,"NOT AVAILABLE","Y"
"5",-9172771.9859,4640427.9738,433,1825701,"ST MARY'S MEDICAL CENTER","2900 1ST AVENUE","HUNTINGTON","WV",25701,"NOT AVAILABLE","(304) 526-1234","GENERAL ACUTE CARE","OPEN",393,"CABELL","54011","USA",38.430550451,-82.4004127269999,622110,"GENERAL MEDICAL AND SURGICAL HOSPITALS","https://ohflac.wvdhhr.org/apps/lookup/facilitysearch","2019/08/10 00:00:00","IMAGERY","2014/03/12 00:00:00","http://www.st-marys.org","201042","ST. MARY'S MEDICAL CENTER",54,"NON-PROFIT",-999,393,"LEVEL II","Y"
"6",-9029459.0643,4489786.4464,434,4024740,"PRINCETON COMMUNITY HOSPITAL","122 12TH STREET, PO BOX 1369","PRINCETON","WV",24740,"NOT AVAILABLE","(304) 487-7260","GENERAL ACUTE CARE","OPEN",267,"MERCER","54055","USA",37.3627189270001,-81.113010848,622110,"GENERAL MEDICAL AND SURGICAL HOSPITALS","https://ohflac.wvdhhr.org/apps/lookup/facilitysearch","2019/08/10 00:00:00","IMAGERY","2014/02/10 00:00:00","http://www.pchonline.org","201034","PRINCETON COMMUNITY HOSPITAL",54,"GOVERNMENT - LOCAL",-999,267,"LEVEL IV","Y"
"7",-9141915.4632,4702933.6321,435,3725550,"PLEASANT VALLEY HOSPITAL","2520 VALLEY DRIVE","POINT PLEASANT","WV",25550,"NOT AVAILABLE","(304) 675-4340","GENERAL ACUTE CARE","OPEN",201,"MASON","54053","USA",38.8690654100001,-82.123223867,622110,"GENERAL MEDICAL AND SURGICAL HOSPITALS","https://ohflac.wvdhhr.org/apps/lookup/facilitysearch","2019/08/10 00:00:00","IMAGERY","2014/02/10 00:00:00","http://www.pvalley.org","201031","PLEASANT VALLEY HOSPITAL",54,"NON-PROFIT",-999,201,"LEVEL IV","Y"
"8",-9106623.4145,4586237.0957,436,1425130,"BOONE MEMORIAL HOSPITAL","701 MADISON AVENUE","MADISON","WV",25130,"NOT AVAILABLE","(304) 369-1230","CRITICAL ACCESS","OPEN",25,"BOONE","54005","USA",38.0482000000001,-81.80619,622110,"GENERAL MEDICAL AND SURGICAL HOSPITALS","https://ohflac.wvdhhr.org/apps/lookup/facilitysearch","2019/08/10 00:00:00","IMAGERY/OTHER","2013/11/15 00:00:00","http://www.bmh.org","205014","BOONE MEMORIAL HOSPITAL",54,"GOVERNMENT - LOCAL",-999,25,"LEVEL IV","N"
"9",-8917690.6831,4607835.2073,437,5824924,"POCAHONTAS MEMORIAL HOSPITAL","150 DUNCAN RD, RR BOX 52 WEST","BUCKEYE","WV",24924,"NOT AVAILABLE","(304) 799-7400","CRITICAL ACCESS","OPEN",25,"POCAHONTAS","54075","USA",38.2008291170001,-80.108978397,622110,"GENERAL MEDICAL AND SURGICAL HOSPITALS","https://ohflac.wvdhhr.org/apps/lookup/facilitysearch","2019/08/10 00:00:00","IMAGERY/OTHER","2013/11/15 00:00:00","http://www.pmhwv.org/","205016","POCAHONTAS MEMORIAL HOSPITAL",54,"GOVERNMENT - LOCAL",-999,25,"LEVEL IV","Y"
"10",-8870811.7196,4788510.6302,438,3926537,"PRESTON MEMORIAL HOSPITAL","300 S PRICE STREET","KINGWOOD","WV",26537,"NOT AVAILABLE","(304) 329-1400","CRITICAL ACCESS","CLOSED",25,"PRESTON","54077","USA",39.46507784,-79.687857503,622110,"GENERAL MEDICAL AND SURGICAL HOSPITALS","http://www.wvdhhr.org/ohflac/facilitylookup/default.aspx","2012/10/30 00:00:00","IMAGERY","2014/02/10 00:00:00","http://www.prestonmemorial.org","205013","PRESTON MEMORIAL HOSPITAL",54,"NON-PROFIT",-999,25,"NOT AVAILABLE","Y"
"11",-8960807.6017,4727567.5676,439,5026452,"WILLIAM R SHARPE JR HOSPITAL","936 SHARPE HOSPITAL ROAD","WESTON","WV",26452,"NOT AVAILABLE","(304) 269-1210","PSYCHIATRIC","OPEN",150,"LEWIS","54041","USA",39.0411492700001,-80.496304267,622210,"PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS","https://ohflac.wvdhhr.org/apps/lookup/facilitysearch","2019/08/10 00:00:00","IMAGERY","2014/02/10 00:00:00","http://www.wvdhhr.org/sharpe","203005","WILLIAM R. SHARPE, JR. HOSPITAL",54,"GOVERNMENT - STATE",-999,150,"NOT AVAILABLE","N"
"12",-8931873.9999,4720441.4965,441,1726201,"ST JOSEPH HOSPITAL","1 AMALIA DRIVE","BUCKHANNON","WV",26201,"NOT AVAILABLE","(304) 472-2000","CRITICAL ACCESS","OPEN",51,"UPSHUR","54097","USA",38.9914120460001,-80.2363892989999,622110,"GENERAL MEDICAL AND SURGICAL HOSPITALS","https://ohflac.wvdhhr.org/apps/lookup/facilitysearch","2019/08/10 00:00:00","IMAGERY","2014/02/10 00:00:00","http://www.stj.net","WV201040","ST. JOSEPH'S HOSPITAL/BUCKHANNON",54,"NON-PROFIT",-999,51,"LEVEL IV","Y"
